name,area,salary_from,salary_to,employer_name,published_at,schedule,responsibility,requirement
Investment advisor (Private Banking),Тюмень,,,АТОН,2020-10-05T13:01:16+0300,Полный день,Профессиональное сопровождение капиталов крупных частных/семейных клиентов. Установление отношений и привлечение новых крупных частных и корпоративных клиентов. Оказание консультационных услуг...,"Опыт работы с состоятельными частными клиентами в Private Banking российских и зарубежных банков. Владение инструментарием финансовых рынков (ДУ, структурные продукты..."
Финансовый советник,Тюмень,,,АТОН,2020-10-05T13:01:17+0300,Полный день,Профессиональное сопровождение капиталов крупных частных клиентов. Привлечение новых крупных частных и корпоративных клиентов. Оказание консультационных услуг по вопросам защиты и...,"Опыт работы с состоятельными частными клиентами в инвестиционных компаниях и/или банках. Навыки продаж, консультирования и ведения клиентов. Коммуникабельность, респектабельность. "
Менеджер по продажам лабораторного оборудования и медицинских расходных материалов,Тюмень,,,"БиоЛайн, Группа компаний",2020-10-08T16:22:42+0300,Полный день,"Медицинского оборудования и расходных материалов. Обучение и консультативная поддержка лабораторий, медицинских и. Решения, которые помогают вывести качество лабораторных исследований и. ",
Водитель,Тюмень,80000,,Сервис заказа такси «НонСтоп»,2020-10-09T12:34:04+0300,Гибкий график,Оказание услуг по перевозке пассажиров и багажа. Содержание автомобиля в технически исправном состоянии и чистоте.,Открытые категории В. Стаж работы водителем категории В не менее 3 лет. Знание города. Ответственное отношение к работе.
Специалист по продаже недвижимости,Тюмень,70000,,Метрика Недвижимость,2020-09-22T07:57:01+0300,Гибкий график,"Качественная работа с клиентами компании по покупке и продаже недвижимости (новостройки, вторичный, загородный рынок г. Тюмени и Санкт-Петербурга). ","Желание зарабатывать от 70 т.р. и улучшать свое благосостояние. Стремление развиваться в сфере продаж и недвижимости, стать профессионалом. "
Разработчик баз данных,Тюмень,70000,120000,Компания maxim,2020-10-09T14:27:17+0300,Полный день,,"Человека с хорошей теоретической подготовкой в области баз данных, имеющего опыт использования и разработки под MSSQL или PostgreSQL (готовы рассмотреть..."
Менеджер по работе с клиентами в сфере недвижимости,Тюмень,70000,80000,"Этажи, федеральная компания",2020-10-14T06:46:19+0300,Полный день,Организация сделок с недвижимостью. Анализ рынка и объектов недвижимости. Ведение базы объектов и клиентов. Поддержание долгосрочных профессиональных отношений с клиентами. ,"Коммуникабельность‚ инициативность, активность. Лидерский потенциал, высокий уровень ответственности. Позитивное отношение к жизни."
Риэлтор,Тюмень,70000,,Метрика Недвижимость,2020-09-22T07:57:01+0300,Гибкий график,Заключение и сопровождение сделок по покупке/продаже недвижимости. Организация показов и просмотров объектов недвижимости. Ведение переговоров с потенциальными клиентами. ,
Риэлтор,Тюмень,60000,70000,"Этажи, федеральная компания",2020-10-13T13:32:32+0300,Полный день,Презентация риэлторской услуги. Заключение договоров на оказание риэлторских услуг. Подбор и презентация объектов недвижимости. Сопровождение сделок покупки-продажи.,Готовность работать на результат. Способность найти подход к каждому клиенту. Опыт работы в продажах будет преимуществом. Желание учиться новому и...
Водитель-экспедитор (по доставке товаров до торговых объектов),Тюмень,60500,71500,"МАГНИТ, Розничная сеть",2020-10-12T14:31:25+0300,Сменный график,Доставка товара по магазинам и гипермаркетам компании в обслуживаемом регионе. Доставка продукции от поставщиков на автомобилях марок MAN с прицепом. ,Опыт работы на грузовых автомобилях. Наличие водительского удостоверения категорий Е.
